location,lat,long,alt,year,bloom_date,bloom_doy,Date_doy_tavg,Date_doy_tmax,Date_doy_tmin,tavg_below_5,tavg_above_10,tavg_moving,tmin_moving,tmax_moving,prcp.-2,prcp.-1,prcp.0,prcp.1,prcp.2,tavg.-2,tavg.-1,tavg.0,tavg.1,tavg.2,tmax.-2,tmax.-1,tmax.0,tmax.1,tmax.2,tmin.-2,tmin.-1,tmin.0,tmin.1,tmin.2,long.y,long.x,slope,dg2_coef,intc,tavg.3,tmin.3,tmax.3
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1967,1967-04-05,95,52,52,18,41,6.0,0.0,-10.3571,0.0,10.0,7.0,1.0,6.0,8.0,190.2258064516129,131.03333333333333,67.54838709677419,46.03225806451613,51.214285714285715,227.2258064516129,171.36666666666667,106.70967741935483,88.09677419354838,89.46428571428571,151.51612903225808,88.26666666666667,25.70967741935484,1.4838709677419355,10.607142857142858,0.6461091784997435,-0.763244999628813,-1.4807017543859655,0.185905941323881,169.27017543859657,79.27272727272727,33.0,116.27272727272727
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1968,1968-04-03,94,55,55,57,38,8.0,0.0,-11.5,0.0,14.0,12.0,6.0,2.0,4.0,170.8709677419355,124.23333333333333,68.74193548387096,58.58064516129032,45.689655172413794,206.96774193548387,156.03333333333333,109.7741935483871,105.19354838709677,87.89655172413794,133.38709677419354,88.46666666666667,26.64516129032258,9.03225806451613,-1.3793103448275863,0.6461091784997435,-0.763244999628813,2.723529411764708,-0.8602941176470356,-88.09558823529433,91.81818181818181,43.36363636363637,140.9090909090909
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1969,1969-04-10,100,64,64,16,36,24.0,0.0,0.0,0.0,13.0,3.0,9.0,7.0,14.0,164.7741935483871,142.66666666666666,104.3225806451613,60.45161290322581,57.535714285714285,197.61290322580646,187.13333333333333,138.1290322580645,100.06451612903226,92.5,131.16129032258064,95.43333333333334,68.61290322580645,13.774193548387096,20.892857142857142,0.6461091784997435,-0.763244999628813,-0.5052264808362396,0.017131762168631194,81.21254355400714,47.29055105854135,5.16816735074032,89.89138334385792
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1970,1970-04-15,105,17,66,18,52,7.0,0.0,-5.8571,0.0,9.0,10.0,2.0,2.0,5.0,174.8709677419355,129.76666666666668,73.0,47.67741935483871,62.107142857142854,210.2258064516129,168.43333333333334,116.61290322580645,89.03225806451613,103.39285714285714,135.25806451612902,89.2,25.161290322580644,4.096774193548387,17.035714285714285,0.6461091784997435,-0.763244999628813,0.17598627787306995,-0.03277382994364126,48.400152468076996,45.90909090909091,-0.45454545454545453,87.9090909090909
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1971,1971-04-05,95,7,8,44,36,5.0,0.0,-2.3571,0.0,10.0,11.0,5.0,5.0,6.0,174.2258064516129,125.26666666666667,70.35483870967742,53.67741935483871,61.464285714285715,211.58064516129033,165.23333333333332,110.51612903225806,92.48387096774194,98.46428571428571,133.09677419354838,83.8,27.483870967741936,16.741935483870968,19.107142857142858,0.6461091784997435,-0.763244999628813,0.11140109890109876,-0.004671739550771783,54.52355769230768,54.54545454545455,17.272727272727273,94.45454545454545
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1972,1972-04-01,92,44,44,64,20,10.0,0.0,0.0,0.0,16.0,6.0,3.0,8.0,13.0,157.80645161290323,121.06666666666666,82.16129032258064,68.09677419354838,52.724137931034484,189.48387096774192,159.8,120.29032258064517,106.51612903225806,83.13793103448276,124.6774193548387,77.56666666666666,37.74193548387097,28.225806451612904,23.103448275862068,0.6461091784997435,-0.763244999628813,0.012210012210011932,0.24197717990821044,61.89662189662191,69.36363636363636,23.818181818181817,111.36363636363636
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1973,1973-04-08,98,40,18,42,18,10.0,0.0,0.0,0.0,4.0,5.0,6.0,9.0,6.0,186.48387096774192,125.94836219937547,82.7587209082123,63.16129032258065,70.50435858199647,223.03225806451613,163.7,120.54838709677419,102.83870967741936,114.07142857142857,149.41935483870967,82.63333333333334,42.193548387096776,28.322580645161292,27.892857142857142,0.6461091784997435,-0.763244999628813,-0.3326612903225813,-0.10038150485180537,89.75192065470655,61.45454545454545,19.09090909090909,107.72727272727273
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1974,1974-04-09,99,31,32,31,52,7.0,0.0,-2.5714,0.0,11.0,3.0,0.0,2.0,8.0,173.51612903225808,120.53333333333333,66.09677419354838,43.354838709677416,51.25,214.1290322580645,169.2,114.96774193548387,89.29032258064517,93.32142857142857,137.51612903225808,75.8,16.838709677419356,5.580645161290323,14.392857142857142,0.6461091784997435,-0.763244999628813,1.2451219512195122,-0.01886928860613048,-3.953658536585321,80.63636363636364,46.27272727272727,122.9090909090909
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1975,1975-04-06,96,14,14,15,37,2.0,0.0,-0.3571,0.0,12.0,3.0,6.0,6.0,4.0,177.51612903225808,115.3,66.93548387096774,46.25806451612903,50.357142857142854,211.32258064516128,157.03333333333333,106.3225806451613,88.06451612903226,92.78571428571429,148.6451612903226,79.53333333333333,31.483870967741936,7.935483870967742,12.5,0.6461091784997435,-0.763244999628813,0.35980036297640655,0.032804801707259496,40.309437386569854,73.54545454545455,31.363636363636363,115.9090909090909
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1976,1976-03-31,91,28,32,29,29,12.0,0.0,-6.1429,0.0,15.0,11.0,5.0,1.0,11.0,173.0,127.36666666666666,66.3225806451613,54.29032258064516,68.17241379310344,205.1290322580645,163.1,107.06451612903226,106.3225806451613,107.20689655172414,144.0,96.53333333333333,30.838709677419356,7.0,28.75862068965517,0.6461091784997435,-0.763244999628813,1.1022349743279978,0.04146194134849807,17.54862579281185,86.63636363636364,49.27272727272727,129.72727272727272
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1977,1977-03-31,90,41,41,9,58,12.0,0.0,-7.7857,0.0,13.0,8.0,4.0,5.0,4.0,174.5483870967742,112.8,73.93548387096774,35.193548387096776,50.214285714285715,213.48387096774192,149.56666666666666,114.7741935483871,74.93548387096774,93.96428571428571,140.5483870967742,74.26666666666667,33.54838709677419,0.2903225806451613,5.214285714285714,0.6461091784997435,-0.763244999628813,2.282091212458287,-0.0933179723502315,-61.45606229143493,75.72727272727273,30.09090909090909,122.9090909090909
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1978,1978-04-09,99,56,55,58,35,15.0,0.0,-0.5,0.0,4.0,9.0,3.0,6.0,5.0,187.70967741935485,147.0,89.54838709677419,56.29032258064516,43.67857142857143,225.83870967741936,184.4,133.4516129032258,96.51612903225806,83.82142857142857,151.61290322580646,114.33333333333333,50.16129032258065,17.258064516129032,5.642857142857143,0.6461091784997435,-0.763244999628813,2.2071428571428555,-0.5741758241758029,-58.98333333333319,83.72727272727273,45.72727272727273,130.63636363636363
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1979,1979-04-04,94,24,24,25,15,21.0,0.0,0.0,0.0,9.0,7.0,5.0,7.0,10.0,173.5483870967742,128.3,85.06451612903226,67.16129032258064,84.78571428571429,210.96774193548387,165.3,127.61290322580645,109.16129032258064,125.14285714285714,136.7741935483871,93.43333333333334,44.54838709677419,24.483870967741936,48.892857142857146,0.6461091784997435,-0.763244999628813,0.2379740980573546,-0.012014889211928998,70.11308973172984,78.81818181818181,41.27272727272727,117.54545454545455
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1980,1980-04-08,99,50,50,27,33,17.0,0.0,0.0,0.0,11.0,12.0,6.0,9.0,3.0,195.0,142.7,101.16129032258064,54.96774193548387,52.758620689655174,230.4516129032258,175.63333333333333,138.80645161290323,99.70967741935483,92.27586206896552,162.96774193548387,111.0,63.67741935483871,16.838709677419356,13.068965517241379,0.6461091784997435,-0.763244999628813,1.8402597402597423,-0.10661535261077015,-42.5108225108226,77.54545454545455,43.81818181818182,110.72727272727273
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1981,1981-04-08,98,61,64,19,44,6.0,0.0,-1.0714,0.0,11.0,7.0,5.0,2.0,4.0,180.96774193548387,129.83333333333334,76.03225806451613,45.12903225806452,52.892857142857146,219.29032258064515,168.06666666666666,118.54838709677419,85.48387096774194,92.03571428571429,147.8709677419355,92.2,37.54838709677419,5.67741935483871,18.928571428571427,0.6461091784997435,-0.763244999628813,0.20174216027874517,0.0038240262290176745,46.42508710801397,47.29055105854135,5.16816735074032,89.89138334385792
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1982,1982-03-31,90,41,41,42,29,6.0,0.0,-0.3571,0.0,7.0,9.0,1.0,4.0,7.0,176.09677419354838,104.6,76.61290322580645,57.096774193548384,54.535714285714285,210.70967741935485,139.43333333333334,116.64516129032258,96.64516129032258,93.42857142857143,143.5483870967742,72.03333333333333,37.806451612903224,22.419354838709676,18.464285714285715,0.6461091784997435,-0.763244999628813,1.1606229143492766,0.05379489114889659,5.485428253615142,81.18181818181819,40.27272727272727,121.63636363636364
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1983,1983-04-08,98,23,23,24,16,10.0,0.0,0.0,0.0,9.0,9.0,3.0,4.0,4.0,179.3548387096774,142.9,93.87096774193549,62.38709677419355,60.357142857142854,215.96774193548387,175.56666666666666,130.48387096774192,101.96774193548387,102.28571428571429,145.70967741935485,112.53333333333333,56.935483870967744,24.93548387096774,23.928571428571427,0.6461091784997435,-0.763244999628813,0.11512158054711205,0.03216338801940779,61.4593465045593,78.0,40.81818181818182,117.0
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1984,1984-04-17,108,48,48,40,76,4.0,0.0,-13.0714,0.0,13.0,6.0,3.0,7.0,6.0,176.19354838709677,123.33333333333333,71.29032258064517,37.225806451612904,30.310344827586206,212.32258064516128,162.56666666666666,110.83870967741936,74.93548387096774,63.44827586206897,143.4516129032258,85.96666666666667,33.354838709677416,1.5806451612903225,-0.3793103448275862,0.6461091784997435,-0.763244999628813,1.3191699604743083,-0.1060135516657248,-33.61363636363634,51.27272727272727,10.545454545454545,89.54545454545455
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1985,1985-04-10,100,30,30,31,37,9.0,0.0,0.0,0.0,7.0,4.0,7.0,1.0,8.0,175.90322580645162,122.33333333333333,76.64516129032258,41.87096774193548,65.35714285714286,212.2258064516129,158.93333333333334,115.3225806451613,81.09677419354838,101.53571428571429,145.51612903225808,85.3,40.03225806451613,4.516129032258065,31.392857142857142,0.6461091784997435,-0.763244999628813,0.08937282229964849,-0.0075124818460038465,60.189895470383455,70.9090909090909,46.81818181818182,106.27272727272727
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1986,1986-04-10,100,50,50,36,49,9.0,0.0,0.0,0.0,6.0,10.0,5.0,3.0,4.0,179.29032258064515,131.9,74.19354838709677,44.61290322580645,42.785714285714285,214.58064516129033,171.33333333333334,114.35483870967742,81.96774193548387,78.64285714285714,146.25806451612902,90.8,34.096774193548384,9.67741935483871,8.107142857142858,0.6461091784997435,-0.763244999628813,2.9000000000000004,0.26394543671433435,-112.14285714285712,74.0,33.18181818181818,119.72727272727273
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1987,1987-04-05,95,14,14,15,30,20.0,0.0,0.0,0.0,8.0,7.0,7.0,7.0,6.0,170.38709677419354,122.63333333333334,85.80645161290323,57.096774193548384,68.82142857142857,205.06451612903226,155.56666666666666,122.48387096774194,100.16129032258064,106.53571428571429,136.4516129032258,90.1,49.41935483870968,19.483870967741936,29.535714285714285,0.6461091784997435,-0.763244999628813,0.12756028001037,-0.01099236055709636,62.80036297640655,73.9090909090909,24.09090909090909,118.27272727272727
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1988,1988-04-11,102,50,58,53,26,14.0,0.0,0.0,0.0,11.0,7.0,4.0,6.0,3.0,188.74193548387098,126.56666666666666,80.93548387096774,76.74193548387096,50.793103448275865,222.16129032258064,162.16666666666666,124.09677419354838,116.96774193548387,88.65517241379311,158.70967741935485,95.66666666666667,40.83870967741935,37.29032258064516,11.310344827586206,0.6461091784997435,-0.763244999628813,1.1987012987012995,0.11499598799371226,-12.826839826839846,67.36363636363636,31.363636363636363,101.36363636363636
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1989,1989-04-03,93,4,17,5,11,20.0,0.0,0.0,0.0,8.0,5.0,0.0,6.0,11.0,175.41935483870967,112.03333333333333,83.06451612903226,80.38709677419355,76.35714285714286,208.03225806451613,156.3,124.80645161290323,113.6774193548387,111.21428571428571,144.25806451612902,72.3,44.774193548387096,48.193548387096776,43.17857142857143,0.6461091784997435,-0.763244999628813,0.04772926809801184,0.005698885608798975,77.53252454306009,85.36363636363636,45.63636363636363,123.72727272727273
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1990,1990-03-26,85,36,36,33,21,19.0,0.0,-6.316,0.0,12.0,10.0,5.0,5.0,13.0,174.90322580645162,142.0,91.2258064516129,49.774193548387096,77.96428571428571,207.38709677419354,177.2,127.96774193548387,88.49063760275652,106.31662077945622,144.8709677419355,107.56666666666666,57.12903225806452,7.9522157095912505,40.354603365883655,0.6461091784997435,-0.763244999628813,1.3165266106442584,-0.0551483492659962,19.709803921568597,97.0909090909091,57.91904691074195,126.81818181818181
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1991,1991-04-08,98,36,61,57,14,21.0,0.0,0.0,0.0,7.0,6.0,1.0,4.0,2.0,191.16129032258064,151.53333333333333,98.83870967741936,62.70967741935484,66.17857142857143,224.3548387096774,190.8609971709876,136.3548387096774,101.10864274064726,104.34761904761902,149.16072342625796,108.56924301689502,56.17864425285784,22.418331320418087,19.997831900643746,0.6461091784997435,-0.763244999628813,0.796078431372549,0.042498571910337374,30.607843137254918,86.0,39.94850466349518,122.72727272727273
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1992,1992-04-01,92,43,7,43,15,21.0,0.0,0.0,0.0,12.0,3.0,3.0,3.0,2.0,181.03225806451613,129.96666666666667,91.61290322580645,67.70967741935483,70.79310344827586,209.88007951357687,164.36441159149712,127.03225806451613,105.89350235470052,107.80963610554652,146.69124077906693,86.50804676263253,47.67778012635178,22.389096819112396,24.968735715102977,0.6461091784997435,-0.763244999628813,0.9307608100711543,0.08977516736137384,29.090585659551223,95.27272727272727,55.18837197117657,127.63636363636364
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1993,1993-04-02,92,28,26,41,16,18.0,0.0,0.0,0.0,13.0,2.0,2.0,7.0,3.0,172.19354838709677,129.96666666666667,93.38709677419355,62.03225806451613,77.21428571428571,204.28728580694388,168.86666666666667,130.7579939540917,92.41981510265225,118.74838287599553,132.86640317403726,84.38033378955782,50.38691960794979,24.34365686096906,28.292159931805852,0.6461091784997435,-0.763244999628813,0.3375113258834189,-0.02252530981969428,60.76427061310784,81.54545454545455,32.98627730810589,120.81818181818181
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1994,1994-04-05,95,34,34,34,23,8.0,42.2143,-0.0788,77.8247,6.0,5.0,5.0,4.0,3.0,174.38709677419354,140.93333333333334,84.93548387096774,55.193548387096776,66.53571428571429,209.97781110489478,176.92417153980122,124.00423537815333,91.03646555798187,106.15767747322495,130.66959546984674,98.29309926349127,42.98668837460393,13.952167450093173,21.798007273305366,0.6461091784997435,-0.763244999628813,0.29943100995732486,-0.0033946612893981376,53.9160739687056,72.0,34.19076231610879,106.90030006018455
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1995,1995-04-07,97,38,38,19,22,13.0,0.0,0.0,0.0,7.0,2.0,4.0,2.0,3.0,200.61290322580646,133.5,89.6774193548387,62.58064516129032,64.75,230.76706690351094,171.04730184907902,129.50645161290322,101.35966656291977,100.10714285714286,160.59099448371921,85.56550248977513,44.80912119107328,15.698623239067157,22.967700464800743,0.6461091784997435,-0.763244999628813,0.32854278074866333,0.04898315631237712,52.8041443850267,74.0909090909091,29.229906826347754,117.77575757575755
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1996,1996-04-07,98,35,33,37,27,9.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,195.1290322580645,125.2,76.35483870967742,65.41935483870968,54.48275862068966,231.5457634010735,167.10011532486746,120.64516129032258,105.0651106833805,94.06896551724138,154.78973316671616,78.11786634841084,29.489377395318478,18.735063854615202,9.30442246553349,0.6461091784997435,-0.763244999628813,0.28996138996138954,0.05099294340780386,44.74924924924926,68.0,23.847199587690344,111.89732767707682
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1997,1997-03-30,89,34,35,33,8,20.0,0.0,0.0,0.0,6.0,5.0,2.0,0.0,2.0,179.67741935483872,130.86666666666667,93.19354838709677,67.06451612903226,71.5,217.1458182943049,168.9149874060412,134.0,113.3192567189201,112.80729272405276,138.2113887880419,88.6501501884662,46.00369055206779,17.77010691935987,25.40565016615954,0.6461091784997435,-0.763244999628813,1.6111901375059272,0.07032654401075468,-1.4035087719298536,105.63636363636364,52.16133157705223,152.0909090909091
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1998,1998-03-31,90,20,20,28,19,14.0,0.0,0.0,0.0,1.0,6.0,3.0,4.0,7.0,186.06451612903226,143.06666666666666,91.06451612903226,53.645161290322584,70.17857142857143,228.2258064516129,180.50708091215847,124.83148174208118,93.82679351159841,114.1098375388854,137.09347562146718,98.98594320602993,49.27376739174013,11.259647072709111,26.242663502160877,0.6461091784997435,-0.763244999628813,0.6257013574660636,-0.002281435070399689,40.03951734539972,79.0,26.98844047138069,121.27272727272727
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,1999,1999-04-02,92,46,46,46,15,17.0,56.0,7.7309,97.8571,9.0,0.0,5.0,7.0,9.0,201.0,138.36666666666667,89.16129032258064,66.33763440860216,67.5,239.68417147107988,175.38475449133523,126.29143211332094,107.14193548387097,113.41785714285713,156.89839457981344,93.45455394592895,45.64267129506474,18.19773026929407,17.08365294972423,0.6461091784997435,-0.763244999628813,0.20461538461538553,-0.1415830546265327,72.17230769230764,91.9090909090909,43.63507852359615,122.9488134103059
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2000,2000-04-06,97,59,58,59,15,17.0,0.0,0.0,0.0,5.0,6.0,1.0,6.0,2.0,193.70967741935485,140.93333333333334,89.61290322580645,75.70967741935483,59.275862068965516,230.90601784817576,177.26666666666668,127.0,111.76928425651512,98.59425287356319,150.481148294147,97.86009980089428,44.390792967041435,30.6990862047579,16.45382236946008,0.6461091784997435,-0.763244999628813,-0.2342657342657444,-1.8663836163835006,94.86013986014048,81.27272727272727,33.67243136251184,124.72727272727273
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2001,2001-03-28,87,27,27,26,27,13.0,0.0,-0.7605,0.0,8.0,9.0,1.0,4.0,4.0,187.16129032258064,132.5,88.09677419354838,48.41935483870968,66.57142857142857,220.99218898626805,167.7909091309278,126.08469434906087,86.6752688172043,106.15453338941312,148.53181719428966,94.82156635829428,44.19933356502765,7.0450997635903985,21.750276803651655,0.6461091784997435,-0.763244999628813,0.7988724453840732,-0.03007541834639849,27.345595489781548,72.0909090909091,22.22967614446698,118.0909090909091
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2002,2002-03-21,80,7,36,10,7,22.0,0.0,0.0,0.0,6.0,4.0,3.0,3.0,3.0,187.38709677419354,130.0,82.87096774193549,74.25806451612904,79.96428571428571,225.4056826948907,167.03333333333333,120.95216224623168,113.71704036734984,117.96428571428571,144.34261661497447,84.78371928223648,40.44616868362614,25.17195323212855,37.039178122461855,0.6461091784997435,-0.763244999628813,0.3954212454212448,0.03322047576079829,68.08878205128202,102.72727272727273,56.697314226084764,145.72727272727272
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2003,2003-04-01,91,8,3,8,32,8.0,0.0,0.0,0.0,6.0,2.0,6.0,3.0,4.0,189.0,115.7,71.6774193548387,54.32258064516129,64.75,226.15751529349947,152.53515304900324,104.74249362598151,95.88500690966535,97.28928571428571,142.28979147789087,72.91586323412045,30.682456771575144,10.842602686300244,24.35698481943911,0.6461091784997435,-0.763244999628813,0.13863287250383943,0.004340010421448823,57.19649257552487,66.0909090909091,23.493443930769534,114.46966726366755
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2004,2004-03-29,89,27,27,27,11,17.0,53.0,12.846,89.0714,7.0,12.0,6.0,2.0,2.0,177.80645161290323,143.9,91.83870967741936,62.87096774193548,85.3103448275862,216.01070323303117,175.2841096060642,129.59369098278444,100.64516129032258,129.56973018618305,133.9426504383095,105.43370901138844,49.20094703786449,23.13424830972512,36.79055207566767,0.6461091784997435,-0.763244999628813,0.6173361522198733,-0.035133218651923925,50.87737843551798,77.81818181818181,24.738534066024958,122.0909090909091
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2007,2007-03-29,88,21,22,13,2,22.0,0.0,0.0,0.0,8.0,9.0,5.0,5.0,7.0,195.03225806451613,142.93333333333334,94.48387096774194,76.87096774193549,86.42857142857143,230.70100709658394,177.17000000000002,127.33480650757745,109.05591397849462,126.07619047619048,154.37610196037534,99.74225378419858,58.97048481035525,39.31257128626139,39.40728637022614,0.6461091784997435,-0.763244999628813,0.39298919567827084,-0.0004340197617509047,72.39899159663864,106.0,59.78882421959588,141.9090909090909
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2008,2008-03-27,87,27,27,29,23,14.0,0.0,0.0,0.0,10.0,5.0,7.0,4.0,6.0,190.0,132.0,89.83870967741936,58.83870967741935,55.758620689655174,223.36995142818677,165.66666666666666,125.93548387096774,93.23245274759716,97.4379121297538,148.02088759672313,91.10423433807698,48.04136872581255,17.912239743053874,13.758244629422853,0.6461091784997435,-0.763244999628813,1.0582100070472165,0.03269514442416338,10.994996476391815,84.45454545454545,36.45457360385908,126.9090909090909
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2009,2009-04-02,92,21,63,21,7,19.0,0.0,0.0,0.0,13.0,10.0,7.0,9.0,9.0,193.03225806451613,130.76666666666668,97.48387096774194,68.03225806451613,77.96428571428571,227.01333297403406,163.26666666666668,137.796929034512,103.063551185793,115.85371823648565,152.42011905532058,88.88799464667937,50.75509903172399,28.5671841094712,36.19270582839969,0.6461091784997435,-0.763244999628813,0.06055222088835491,-0.004037768953735358,75.46487394957984,81.36363636363636,42.711299194927086,114.6325972738589
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2010,2010-04-01,91,47,54,45,25,18.0,0.0,0.0,0.0,12.0,11.0,6.0,2.0,10.0,189.2258064516129,133.63333333333333,89.41935483870968,70.87096774193549,64.85714285714286,225.18482682535452,171.63040866684975,125.10967741935484,111.08954123752322,97.46428571428571,147.18360205553287,92.60341381699679,48.86223492179237,21.050473786835518,21.968545868422506,0.6461091784997435,-0.763244999628813,0.6100000000000028,-0.501254180602,43.10666666666649,75.36363636363636,30.036863481998203,110.18181818181819
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2011,2011-04-06,96,20,16,19,22,19.0,0.0,0.0,0.0,18.0,6.0,6.0,1.0,9.0,188.51612903225808,134.7,98.12903225806451,50.25806451612903,70.42857142857143,222.0597411853006,171.4,138.4196689733097,90.54838709677419,109.07142857142857,153.66878783091536,91.77839123622941,52.979786104193074,9.882037509608317,25.3579091455091,0.6461091784997435,-0.763244999628813,0.4756561085972853,-0.01596586384916817,42.02684766214179,63.27272727272727,23.121181263370342,105.42424242424245
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2012,2012-04-06,97,33,28,36,32,10.0,0.0,-2.3052,0.0,8.0,8.0,8.0,5.0,10.0,194.03225806451613,147.9,74.2258064516129,47.74193548387097,54.48275862068966,229.28266916370555,185.6963554143413,111.13603916480072,83.11963211898899,90.74782379760588,150.40361169939004,106.5461066017621,33.55044959026371,11.615242668518457,13.71878163744747,0.6461091784997435,-0.763244999628813,0.9054601159864324,0.016745997009155297,14.553014553014519,75.45454545454545,35.174433087084644,105.29868851801311
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2013,2013-03-22,81,16,50,56,29,14.0,0.0,0.0,0.0,11.0,9.0,10.0,5.0,6.0,192.80645161290323,126.3,72.38709677419355,55.193548387096776,62.42857142857143,230.16129032258064,163.22380952380954,114.48997140273805,95.8252922138189,102.02656806475632,148.77571851176415,82.9056169656808,27.511300446919098,12.7932601619707,17.508153634089474,0.6461091784997435,-0.763244999628813,0.898340548340548,0.04642000942894689,31.644083694083683,111.45454545454545,54.24592565519766,164.27272727272728
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2016,2016-03-31,91,25,25,30,20,21.0,0.0,-1.908,0.0,5.0,12.0,6.0,4.0,7.0,183.5483870967742,138.76666666666668,93.48387096774194,60.32258064516129,72.72413793103448,226.5068031939065,180.10539282625118,134.09199615471564,106.56666666666668,122.76664796443248,134.58534545688804,95.7184268472137,49.83519187608197,11.79841617152598,24.492415891286203,0.6461091784997435,-0.763244999628813,1.1046561825470242,-0.003731813976957456,23.13752698119025,97.72727272727273,52.31982384203864,148.23333333333338
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2017,2017-04-02,92,26,26,26,18,16.0,43.4286,-5.1458,94.9853,10.0,13.0,6.0,2.0,3.0,186.6451612903226,113.16666666666667,88.3225806451613,58.354838709677416,69.17857142857143,227.84589704835892,157.4231599472898,138.8303046476639,110.570519753719,120.98171902081336,141.73700461269414,68.87985956691351,33.919011631161936,10.407236060664257,16.487669464539337,0.6461091784997435,-0.763244999628813,0.25718050065876186,0.015784200023599582,60.610891523934995,79.0,24.68896660376024,128.63636363636363
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2018,2018-03-24,83,35,37,37,38,5.0,0.0,-15.0433,0.0,16.0,7.0,3.0,3.0,5.0,167.4516129032258,119.13333333333334,65.64516129032258,47.0,54.142857142857146,203.52646253683457,166.76826335729098,111.87043140966222,95.68602150537635,100.32142857142857,127.22740882510665,67.09914556153383,20.2068228737776,-0.5731815956316902,5.478887060820142,0.6461091784997435,-0.763244999628813,1.7301158301158306,-0.0027463332416892815,-21.41441441441445,98.0909090909091,45.726077630411936,157.7211692343102
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2019,2019-03-27,86,10,49,11,23,16.0,0.0,0.0,0.0,11.0,10.0,9.0,1.0,8.0,189.83870967741936,139.3,82.64516129032258,56.225806451612904,72.46428571428571,231.8044166183005,177.81872714962864,120.4457856048109,103.5793333565404,116.44039059184486,145.56056853781726,95.38923301376614,38.44795610298299,7.5119030162761025,24.662962403503666,0.6461091784997435,-0.763244999628813,0.8206240084611317,0.020401639130856013,38.2897937599154,95.27272727272727,48.207537346857976,137.48804556760072
Japan/Tokyo,35.6916666666667,139.751111111111,25.2,2020,2020-03-22,82,28,28,43,9,23.0,0.0,0.0,0.0,17.0,10.0,9.0,12.0,4.0,193.4516129032258,130.46666666666667,84.64516129032258,71.0,83.82758620689656,238.1556611757572,179.33236207282096,124.40405571970253,114.74990405446005,132.41379310344828,151.73982879195984,81.08427526842935,40.03220746061086,29.617426553646276,34.63191585539365,0.6461091784997435,-0.763244999628813,0.7614013893083666,0.025136708630752597,51.5983086680761,102.0909090909091,61.763017036779814,149.458550052799
